firm,year,positive,negative,compound_sentiment,total_tokens,Equity,Fixed Income,Real Estate,Commodities,Alternatives,Infrastructure,Private Equity,Hedge Funds,Cash
JPMorgan,2022,112.0,107.0,0.0228310502283105,1.0,0.9116752780973911,0.3236364722251892,-0.7935523632913828,,0.5275409016758204,0.7356843492016196,0.8820576313883066,,-0.009489897638559341
JPMorgan,2023,120.0,265.0,-0.37662337662337664,1.0,-0.24447718262672424,0.769836351275444,,0.9211067240685225,0.4217220200225711,0.01457870751619339,0.8269697991199791,0.18930960446596146,-0.4790412671864033
JPMorgan,2024,111.0,228.0,-0.34513274336283184,1.0,0.027416855096817017,-0.2037331759929657,-0.13357960432767868,0.012451725080609322,-0.5713123679161072,0.2513605933636427,-0.015167322009801865,-0.09474608302116394,0.09635837748646736
JPMorgan,2025,194.0,269.0,-0.16198704103671707,1.0,0.13992923498153687,0.5056091472506523,0.3324692025780678,0.046866241842508316,0.047197685576975346,0.0879623256623745,,0.09395334031432867,0.9080146346241236
Morningstar,2023,121.0,165.0,-0.15384615384615385,1.0,0.017381593585014343,0.4155239760875702,,,,0.023969706147909164,,,0.1841295212507248
Morningstar,2024,432.0,325.0,0.14134742404227213,1.0,0.34485116600990295,0.3661390021443367,-0.280504934489727,,0.14695231057703495,0.2058527311310172,,,0.4736800566315651
Morningstar,2025,219.0,208.0,0.02576112412177986,1.0,0.297699473798275,0.4797746781259775,,,0.2860204940661788,0.46198202203959227,0.011731214821338654,,-0.14810894429683685
NothernTrust,2025,189.0,231.0,-0.1,1.0,0.5579840838909149,0.49882492423057556,0.12329595163464546,0.022473834455013275,0.07132384739816189,0.9396299421787262,-0.20341657102108002,0.9076549857854843,0.12521028518676758
StateStreet,2024,83.0,94.0,-0.062146892655367235,1.0,0.12852171063423157,0.34995576925575733,,0.11100636702030897,0.05733670201152563,0.5069765415973961,,0.29920156951993704,0.07449629995971918
StateStreet,2025,204.0,207.0,-0.0072992700729927005,1.0,0.8258589766919613,0.38522603176534176,-0.00044184736907482147,0.13820813782513142,,0.34448806662112474,0.02619278524070978,-0.3436437249183655,-0.937366402707994
TRowePrice,2020,30.0,67.0,-0.38144329896907214,1.0,0.860374316573143,-0.9337142324075103,,,,,,,
TRowePrice,2022,30.0,44.0,-0.1891891891891892,1.0,-0.8522145636379719,0.17457443103194237,,,,,,,0.6219223141670227
TRowePrice,2023,117.0,259.0,-0.3776595744680851,1.0,0.49252253770828247,0.7147418707609177,0.010301763191819191,,,0.695804052054882,,,0.4201672524213791
TRowePrice,2024,128.0,140.0,-0.04477611940298507,1.0,0.19475699961185455,0.7543235644698143,-0.9247550219297409,0.29611293971538544,,,-0.805584616959095,,0.00992429070174694
TRowePrice,2025,250.0,250.0,0.0,1.0,0.35755253210663795,0.3073889706283808,-0.14429646730422974,0.292963907122612,,0.031218424439430237,0.4914755467325449,,0.9196450840681791
TrowePrice,2021,109.0,138.0,-0.11740890688259109,1.0,0.9352198801934719,0.028629720211029053,,,,,,,
UBS,2020,2.0,5.0,-0.42857142857142855,1.0,0.24577684234827757,0.19592075236141682,,0.19592075236141682,,,,,
UBS,2021,26.0,14.0,0.3,1.0,0.784268974326551,0.7896005334332585,,,,,,,0.15964159555733204
UBS,2022,26.0,27.0,-0.018867924528301886,1.0,0.7385771926492453,,,0.927670169621706,-0.04505731165409088,,0.29206923954188824,,
UBS,2023,36.0,58.0,-0.23404255319148937,1.0,-0.9413895942270756,,,0.00017133541405200958,,0.08349396102130413,,,
UBS,2024,44.0,48.0,-0.043478260869565216,1.0,-0.7215745449066162,-0.42127183079719543,,0.045239816419780254,0.19645097479224205,0.7930313027463853,,,-0.14810600876808167
UBS,2025,45.0,42.0,0.034482758620689655,1.0,0.051839858293533325,0.9196375217288733,0.9174372460693121,,,,,,-0.6826623678207397
Vanguard,2020,201.0,568.0,-0.47724317295188556,1.0,0.5988791361451149,0.055375561118125916,0.031784217804670334,0.06383050885051489,,-0.8128508999943733,,,0.16652166098356247
Vanguard,2021,306.0,472.0,-0.2133676092544987,1.0,-0.017515510320663452,-0.07377462089061737,0.13446569629013538,0.016075773164629936,,-0.5066151171922684,,,0.10621849726885557
Vanguard,2022,250.0,583.0,-0.3997599039615846,1.0,-0.31371989846229553,0.10712121427059174,0.3930612653493881,0.10893755033612251,,0.9146044328808784,,,-0.007082827389240265
Vanguard,2024,136.0,228.0,-0.25274725274725274,1.0,-0.07750670611858368,0.34991879388689995,,0.0737000722438097,0.9164938973262906,0.8360681505873799,,,0.056515397503972054
Voya,2023,82.0,210.0,-0.4383561643835616,1.0,-0.08006458356976509,0.009911958128213882,0.004388874396681786,,,0.7753972569480538,0.019160190597176552,0.0035088658332824707,-0.031770290806889534
Voya,2024,87.0,211.0,-0.4161073825503356,1.0,-0.05212178826332092,0.06892150640487671,0.024654820561408997,,,0.7540155351161957,0.01738322712481022,-0.0018660761415958405,-0.03913929499685764
Voya,2025,98.0,199.0,-0.3400673400673401,1.0,-0.0817810595035553,0.04460439831018448,-0.2641596458852291,,,0.9210173999890685,,-0.31879718601703644,-0.009479191154241562
WellsFargoInvestmentInstitute,2020,189.0,337.0,-0.2813688212927757,1.0,-0.36611977964639664,0.28248079493641853,-0.1691032387316227,-0.21771608293056488,-0.3650825768709183,-0.3083626627922058,0.045856205746531487,-0.045800261199474335,0.23480891436338425
WellsFargoInvestmentInstitute,2021,203.0,266.0,-0.13432835820895522,1.0,0.32381466031074524,0.4306433741003275,0.04088712856173515,-0.06469669938087463,-0.7647419851273298,0.43704332411289215,-0.07382650673389435,0.01573074236512184,-0.16734544932842255
WellsFargoInvestmentInstitute,2022,191.0,275.0,-0.18025751072961374,1.0,0.1326838582754135,0.05218592286109924,0.029570598155260086,-0.31809381023049355,-0.0002940073609352112,0.07160154730081558,-0.11569431982934475,0.07864730432629585,0.002893403172492981
WellsFargoInvestmentInstitute,2023,197.0,387.0,-0.3253424657534247,1.0,0.13244344294071198,0.05604331195354462,-0.04318544641137123,0.058073967695236206,,,-0.03654487803578377,-0.37281217612326145,-0.03781719505786896
WellsFargoInvestmentInstitute,2025,276.0,302.0,-0.04498269896193772,1.0,0.18648480996489525,-0.24567393958568573,-0.028951086103916168,0.06305880472064018,-0.7738071363419294,0.8588516246527433,0.5222466215491295,-0.02917204052209854,0.7883349247276783
